node_id	pr_value
663930	0.0001719682179869618
482708	9.409158135085864e-05
1034017	5.449720096581026e-05
663559	4.873752100267242e-05
357530	4.561544109340037e-05
1120567	4.471721137280934e-05
663605	4.333706610317486e-05
663682	3.658655623045413e-05
1108860	3.5250113588514276e-05
664788	3.502566249828541e-05
