Baisley Park,Queens,29.36045577913085
Flushing Meadows-Corona Park,Queens,27.30484573361766
South Jamaica,Queens,26.294916239873476
Randalls Island,Manhattan,24.15098994022753
Astoria Park,Queens,21.70641711214752
Briarwood/Jamaica Hills,Queens,19.945064631789336
Springfield Gardens South,Queens,19.468309288781906
Jamaica,Queens,19.283943000137896
Corona,Queens,18.228769248155974
LaGuardia Airport,Queens,18.181338808373003
Jamaica Bay,Queens,17.100529446757893
Maspeth,Queens,17.00545064007954
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764756944445
JFK Airport,Queens,16.77772534824964
Battery Park,Manhattan,12.849780311142878
Morningside Heights,Manhattan,12.453698026584075
Battery Park City,Manhattan,12.448848404428597
Greenwich Village North,Manhattan,12.44694989169404
Rikers Island,Bronx,12.3063
World Trade Center,Manhattan,12.295411924133376
